Year,County,Hospital,Hospital ID,Performance Measure,Total Statewide CABG Cases,Total Statewide CABG Cases for Performance Measure Reporting,Statewide Adverse Events,Statewide Adverse Events Rate (%),Total Hospital CABG Cases,Total Hospital CABG Cases for Performance Measure Reporting,Hospital Adverse Events,Hospital Observed Adverse Events Rate (%),Hospital Expected Adverse Events Rate (%),"Hospital Risk-Adjusted Adverse Events Rate (%,RAAER)",Hospital Lower 95% CI for RAAER,Hospital Upper 95% CI for RAAER,Performance Rating,Longitude,Latitude
2021-2022,San Diego,Scripps Memorial Hospital – La Jolla,106370771,Isolated CABG Post-Operative Stroke,"29,996","24,015",367,1.53,832,646,7,1.08,1.23,1.34,0.54,2.77,Average,-117.22,32.89
2021-2022,San Diego,Tri-City Medical Center,106370780,Isolated CABG Post-Operative Stroke,"29,996","24,015",367,1.53,91,72,1,1.39,1.52,1.39,0.04,7.76,Average,-117.29,33.18
2021-2022,San Diego,Sharp Chula Vista Medical Center,106370875,Isolated CABG Post-Operative Stroke,"29,996","24,015",367,1.53,267,231,3,1.30,1.99,1.00,0.21,2.91,Average,-117.02,32.62
2021-2022,San Diego,UC San Diego Health La Jolla – Jacobs Medical Center & Sulpizio Cardiovascular Center,106374141,Isolated CABG Post-Operative Stroke,"29,996","24,015",367,1.53,403,283,2,0.71,1.56,0.69,0.08,2.50,Average,-117.22,32.88
2021-2022,San Diego,Palomar Medical Center,106374382,Isolated CABG Post-Operative Stroke,"29,996","24,015",367,1.53,64,56,1,1.79,1.39,1.96,0.05,10.91,Average,-117.12,33.12
2021-2022,San Francisco,Kaiser Foundation Hospital – San Francisco,106380857,Isolated CABG Post-Operative Stroke,"29,996","24,015",367,1.53,"1,118",959,21,2.19,1.25,2.68,1.66,4.09,Worse,-122.44,37.78
2021-2022,San Francisco,UC San Francisco Medical Center,106381154,Isolated CABG Post-Operative Stroke,"29,996","24,015",367,1.53,359,290,4,1.38,1.25,1.68,0.46,4.31,Average,-122.46,37.76
2021-2022,San Francisco,California Pacific Medical Center – Van Ness Campus,106384176,Isolated CABG Post-Operative Stroke,"29,996","24,015",367,1.53,172,129,1,0.78,1.46,0.81,0.02,4.51,Average,-122.42,37.79
2021-2022,San Joaquin,Dameron Hospital,106390846,Isolated CABG Post-Operative Stroke,"29,996","24,015",367,1.53,95,85,1,1.18,1.88,0.96,0.02,5.34,Average,-121.30,37.96
2021-2022,San Joaquin,St. Joseph's Medical Center of Stockton,106391042,Isolated CABG Post-Operative Stroke,"29,996","24,015",367,1.53,522,439,3,0.68,1.85,0.57,0.12,1.65,Average,-121.29,37.97
2021-2022,San Luis Obispo,French Hospital Medical Center,106400480,Isolated CABG Post-Operative Stroke,"29,996","24,015",367,1.53,153,112,0,0.00,1.05,0.00,0.00,4.77,Average,-120.65,35.28
2021-2022,San Mateo,AHMC Seton Medical Center,106410817,Isolated CABG Post-Operative Stroke,"29,996","24,015",367,1.53,71,65,4,6.15,2.54,3.70,1.01,9.47,Average,-122.47,37.68
2021-2022,San Mateo,Mills-Peninsula Medical Center,106410852,Isolated CABG Post-Operative Stroke,"29,996","24,015",367,1.53,116,99,3,3.03,1.70,2.72,0.56,7.95,Average,-122.38,37.59
2021-2022,San Mateo,Sequoia Hospital,106410891,Isolated CABG Post-Operative Stroke,"29,996","24,015",367,1.53,177,108,4,3.70,1.23,4.59,1.25,11.75,Average,-122.25,37.48
2021-2022,Santa Barbara,Marian Regional Medical Center,106420493,Isolated CABG Post-Operative Stroke,"29,996","24,015",367,1.53,153,132,3,2.27,1.58,2.20,0.45,6.43,Average,-120.41,34.95
2021-2022,Santa Barbara,Santa Barbara Cottage Hospital,106420514,Isolated CABG Post-Operative Stroke,"29,996","24,015",367,1.53,181,144,0,0.00,1.28,0.00,0.00,3.07,Average,-119.72,34.43
2021-2022,Santa Clara,Regional Medical Center of San Jose,106430705,Isolated CABG Post-Operative Stroke,"29,996","24,015",367,1.53,99,89,4,4.49,2.38,2.89,0.79,7.40,Average,-121.85,37.36
2021-2022,Santa Clara,El Camino Health,106430763,Isolated CABG Post-Operative Stroke,"29,996","24,015",367,1.53,226,178,0,0.00,1.29,0.00,0.00,2.45,Average,-122.08,37.37
2021-2022,Santa Clara,Good Samaritan Hospital – San Jose,106430779,Isolated CABG Post-Operative Stroke,"29,996","24,015",367,1.53,155,119,5,4.20,1.60,4.00,1.30,9.34,Average,-121.94,37.25
2021-2022,Santa Clara,O'Connor Hospital,106430837,Isolated CABG Post-Operative Stroke,"29,996","24,015",367,1.53,154,136,1,0.74,1.81,0.62,0.02,3.46,Average,-121.94,37.33
2021-2022,Santa Clara,Santa Clara Valley Medical Center,106430883,Isolated CABG Post-Operative Stroke,"29,996","24,015",367,1.53,105,82,1,1.22,1.37,1.36,0.03,7.56,Average,-121.93,37.31
2021-2022,Santa Clara,Stanford Health Care,106430905,Isolated CABG Post-Operative Stroke,"29,996","24,015",367,1.53,553,378,12,3.17,1.30,3.75,1.94,6.54,Worse,-122.18,37.43
2021-2022,Santa Clara,Kaiser Foundation Hospital – Santa Clara,106434153,Isolated CABG Post-Operative Stroke,"29,996","24,015",367,1.53,953,791,13,1.64,1.36,1.85,0.98,3.16,Average,-122.00,37.33
2021-2022,Santa Cruz,Dominican Hospital,106440755,Isolated CABG Post-Operative Stroke,"29,996","24,015",367,1.53,145,91,2,2.20,1.27,2.65,0.32,9.56,Average,-121.98,36.99
2021-2022,Shasta,Shasta Regional Medical Center,106450940,Isolated CABG Post-Operative Stroke,"29,996","24,015",367,1.53,164,135,1,0.74,1.13,1.00,0.03,5.58,Average,-122.39,40.59
2021-2022,Shasta,Mercy Medical Center – Redding,106450949,Isolated CABG Post-Operative Stroke,"29,996","24,015",367,1.53,142,127,2,1.57,1.67,1.44,0.17,5.21,Average,-122.40,40.57
2021-2022,Solano,NorthBay Medical Center,106481357,Isolated CABG Post-Operative Stroke,"29,996","24,015",367,1.53,146,130,1,0.77,1.58,0.75,0.02,4.16,Average,-122.05,38.26
2021-2022,Sonoma,Providence Santa Rosa Memorial Hospital – Montgomery,106491064,Isolated CABG Post-Operative Stroke,"29,996","24,015",367,1.53,127,93,2,2.15,1.58,2.08,0.25,7.51,Average,-122.70,38.44
2021-2022,Stanislaus,Doctors Medical Center,106500852,Isolated CABG Post-Operative Stroke,"29,996","24,015",367,1.53,510,423,10,2.36,1.85,1.96,0.94,3.60,Average,-121.00,37.66
2021-2022,Stanislaus,Memorial Medical Center – Modesto,106500939,Isolated CABG Post-Operative Stroke,"29,996","24,015",367,1.53,263,202,3,1.49,1.44,1.58,0.33,4.62,Average,-120.97,37.67
2021-2022,Tulare,Kaweah Health Medical Center,106540734,Isolated CABG Post-Operative Stroke,"29,996","24,015",367,1.53,394,312,5,1.60,1.89,1.30,0.42,3.03,Average,-119.29,36.33
2021-2022,Ventura,Community Memorial Hospital – San Buenaventura,106560473,Isolated CABG Post-Operative Stroke,"29,996","24,015",367,1.53,193,164,1,0.61,1.58,0.59,0.01,3.29,Average,-119.26,34.27
2021-2022,Ventura,Los Robles Hospital & Medical Center,106560492,Isolated CABG Post-Operative Stroke,"29,996","24,015",367,1.53,150,123,4,3.25,1.61,3.09,0.84,7.90,Average,-118.88,34.21
2021-2022,Ventura,St. John's Regional Medical Center,106560529,Isolated CABG Post-Operative Stroke,"29,996","24,015",367,1.53,106,93,1,1.08,1.56,1.05,0.03,5.86,Average,-119.16,34.22
2021-2022,Yuba,Adventist Health and Rideout,106580996,Isolated CABG Post-Operative Stroke,"29,996","24,015",367,1.53,125,111,2,1.80,1.70,1.62,0.20,5.84,Average,-121.59,39.14
2021-2022,Alameda,Alta Bates Summit Medical Center,106010937,Isolated CABG 30-Day Readmission,"29,996","19,747","2,225",11.27,321,203,12,5.91,13.45,4.95,2.56,8.65,Better,-122.26,37.82
2021-2022,Alameda,Washington Hospital – Fremont,106010987,Isolated CABG 30-Day Readmission,"29,996","19,747","2,225",11.27,208,144,14,9.72,9.95,11.01,6.02,18.47,Average,-121.98,37.56
2021-2022,Alameda,Stanford Health Care Tri-Valley,106014050,Isolated CABG 30-Day Readmission,"29,996","19,747","2,225",11.27,173,89,11,12.36,10.85,12.83,6.40,22.96,Average,-121.88,37.69
2021-2022,Butte,Enloe Medical Center– Esplanade,106040962,Isolated CABG 30-Day Readmission,"29,996","19,747","2,225",11.27,273,201,23,11.44,11.83,10.90,6.91,16.35,Average,-121.85,39.74
2021-2022,Contra Costa,John Muir Medical Center – Concord Campus,106071018,Isolated CABG 30-Day Readmission,"29,996","19,747","2,225",11.27,538,373,32,8.58,11.36,8.51,5.82,12.01,Average,-122.04,37.99
2021-2022,Contra Costa,San Ramon Regional Medical Center,106074017,Isolated CABG 30-Day Readmission,"29,996","19,747","2,225",11.27,44,34,3,8.82,9.62,10.33,2.13,30.20,Average,-121.96,37.78
2021-2022,Fresno,Community Regional Medical Center – Fresno,106100717,Isolated CABG 30-Day Readmission,"29,996","19,747","2,225",11.27,28,19,6,31.58,15.64,22.75,8.35,49.51,Average,-119.78,36.74
2021-2022,Fresno,Saint Agnes Medical Center,106100899,Isolated CABG 30-Day Readmission,"29,996","19,747","2,225",11.27,487,303,47,15.51,12.21,14.32,10.52,19.04,Average,-119.76,36.84
2021-2022,Fresno,Fresno Heart and Surgical Hospital,106105029,Isolated CABG 30-Day Readmission,"29,996","19,747","2,225",11.27,920,681,76,11.16,12.20,10.31,8.12,12.90,Average,-119.79,36.86
2021-2022,Humboldt,Providence St. Joseph Hospital – Eureka,106121080,Isolated CABG 30-Day Readmission,"29,996","19,747","2,225",11.27,49,35,3,8.57,11.51,8.39,1.73,24.51,Average,-124.14,40.78
2021-2022,Kern,Bakersfield Memorial Hospital,106150722,Isolated CABG 30-Day Readmission,"29,996","19,747","2,225",11.27,143,106,11,10.38,10.56,11.07,5.53,19.81,Average,-119.01,35.39
2021-2022,Kern,Adventist Health Bakersfield,106150788,Isolated CABG 30-Day Readmission,"29,996","19,747","2,225",11.27,74,50,7,14.00,12.91,12.22,4.91,25.18,Average,-119.02,35.38
2021-2022,Kern,Bakersfield Heart Hospital,106154101,Isolated CABG 30-Day Readmission,"29,996","19,747","2,225",11.27,105,86,3,3.49,9.82,4.00,0.83,11.70,Average,-119.04,35.39
2021-2022,Los Angeles,Antelope Valley Hospital,106190034,Isolated CABG 30-Day Readmission,"29,996","19,747","2,225",11.27,79,69,11,15.94,12.36,14.54,7.26,26.01,Average,-118.16,34.69
2021-2022,Los Angeles,St. Mary Medical Center – Long Beach,106190053,Isolated CABG 30-Day Readmission,"29,996","19,747","2,225",11.27,73,55,9,16.36,12.73,14.48,6.62,27.49,Average,-118.19,33.78
2021-2022,Los Angeles,Beverly Hospital,106190081,Isolated CABG 30-Day Readmission,"29,996","19,747","2,225",11.27,32,18,2,11.11,9.98,12.55,1.52,45.32,Average,-118.10,34.02
2021-2022,Los Angeles,California Hospital Medical Center – Los Angeles,106190125,Isolated CABG 30-Day Readmission,"29,996","19,747","2,225",11.27,93,64,5,7.81,9.88,8.91,2.89,20.80,Average,-118.27,34.04
2021-2022,Los Angeles,Centinela Hospital Medical Center,106190148,Isolated CABG 30-Day Readmission,"29,996","19,747","2,225",11.27,86,63,17,26.98,15.26,19.93,11.61,31.91,Worse,-118.35,33.95
2021-2022,Los Angeles,Lakewood Regional Medical Center,106190240,Isolated CABG 30-Day Readmission,"29,996","19,747","2,225",11.27,197,130,14,10.77,12.53,9.68,5.29,16.24,Average,-118.15,33.86
2021-2022,Los Angeles,PIH Health Hospital – Downey,106190243,Isolated CABG 30-Day Readmission,"29,996","19,747","2,225",11.27,32,27,7,25.93,11.66,25.04,10.07,51.60,Average,-118.13,33.94
2021-2022,Los Angeles,Garfield Medical Center,106190315,Isolated CABG 30-Day Readmission,"29,996","19,747","2,225",11.27,297,142,20,14.08,11.84,13.40,8.19,20.70,Average,-118.12,34.07
2021-2022,Los Angeles,Adventist Health Glendale,106190323,Isolated CABG 30-Day Readmission,"29,996","19,747","2,225",11.27,186,107,11,10.28,9.67,11.98,5.98,21.44,Average,-118.23,34.15
2021-2022,Los Angeles,Hollywood Presbyterian Medical Center,106190382,Isolated CABG 30-Day Readmission,"29,996","19,747","2,225",11.27,50,26,6,23.08,11.26,23.09,8.47,50.25,Average,-118.29,34.10
2021-2022,Los Angeles,Providence Holy Cross Medical Center,106190385,Isolated CABG 30-Day Readmission,"29,996","19,747","2,225",11.27,119,82,13,15.85,11.79,15.16,8.07,25.92,Average,-118.46,34.28
2021-2022,Los Angeles,PIH Health Good Samaritan Hospital,106190392,Isolated CABG 30-Day Readmission,"29,996","19,747","2,225",11.27,203,85,10,11.76,11.99,11.05,5.30,20.33,Average,-118.27,34.05
2021-2022,Los Angeles,Huntington Hospital,106190400,Isolated CABG 30-Day Readmission,"29,996","19,747","2,225",11.27,220,115,17,14.78,11.55,14.42,8.40,23.09,Average,-118.15,34.14
2021-2022,Los Angeles,Emanate Health Inter – Community Hospital,106190413,Isolated CABG 30-Day Readmission,"29,996","19,747","2,225",11.27,290,205,27,13.17,11.61,12.78,8.42,18.59,Average,-117.89,34.09
2021-2022,Los Angeles,Torrance Memorial Medical Center,106190422,Isolated CABG 30-Day Readmission,"29,996","19,747","2,225",11.27,131,89,17,19.10,11.37,18.93,11.03,30.30,Average,-118.34,33.81
2021-2022,Los Angeles,Kaiser Foundation Hospital – Los Angeles,106190429,Isolated CABG 30-Day Readmission,"29,996","19,747","2,225",11.27,"1,506","1,147",92,8.02,11.06,8.17,6.59,10.02,Better,-118.30,34.10
2021-2022,Los Angeles,Providence Little Company of Mary Medical Center – Torrance,106190470,Isolated CABG 30-Day Readmission,"29,996","19,747","2,225",11.27,145,103,17,16.50,10.76,17.28,10.06,27.66,Average,-118.36,33.84
2021-2022,Los Angeles,Providence Cedars – Sinai Tarzana Medical Center,106190517,Isolated CABG 30-Day Readmission,"29,996","19,747","2,225",11.27,102,65,13,20.00,10.27,21.94,11.68,37.51,Worse,-118.53,34.17
2021-2022,Los Angeles,Glendale Memorial Hospital and Health Center,106190522,Isolated CABG 30-Day Readmission,"29,996","19,747","2,225",11.27,155,107,11,10.28,11.19,10.35,5.17,18.52,Average,-118.26,34.13
2021-2022,Los Angeles,MemorialCare Long Beach Medical Center,106190525,Isolated CABG 30-Day Readmission,"29,996","19,747","2,225",11.27,289,175,21,12.00,12.59,10.74,6.65,16.41,Average,-118.19,33.81
2021-2022,Los Angeles,USC Arcadia Hospital,106190529,Isolated CABG 30-Day Readmission,"29,996","19,747","2,225",11.27,56,45,4,8.89,11.51,8.70,2.37,22.28,Average,-118.04,34.14
2021-2022,Los Angeles,Cedars – Sinai Medical Center,106190555,Isolated CABG 30-Day Readmission,"29,996","19,747","2,225",11.27,565,314,50,15.92,10.48,17.12,12.71,22.58,Worse,-118.38,34.08
2021-2022,Los Angeles,Northridge Hospital Medical Center,106190568,Isolated CABG 30-Day Readmission,"29,996","19,747","2,225",11.27,173,124,15,12.10,11.66,11.69,6.54,19.28,Average,-118.53,34.22
2021-2022,Los Angeles,Pomona Valley Hospital Medical Center,106190630,Isolated CABG 30-Day Readmission,"29,996","19,747","2,225",11.27,254,197,23,11.68,12.58,10.45,6.63,15.69,Average,-117.75,34.08
2021-2022,Los Angeles,PIH Health Hospital – Whittier,106190631,Isolated CABG 30-Day Readmission,"29,996","19,747","2,225",11.27,207,126,12,9.52,15.31,7.01,3.62,12.25,Average,-118.05,33.97
2021-2022,Los Angeles,St. Francis Medical Center,106190754,Isolated CABG 30-Day Readmission,"29,996","19,747","2,225",11.27,35,25,3,12.00,10.04,13.46,2.78,39.34,Average,-118.20,33.93
2021-2022,Los Angeles,Providence Saint John's Health Center,106190756,Isolated CABG 30-Day Readmission,"29,996","19,747","2,225",11.27,75,50,4,8.00,11.09,8.13,2.21,20.80,Average,-118.48,34.03
2021-2022,Los Angeles,Providence Saint Joseph Medical Center,106190758,Isolated CABG 30-Day Readmission,"29,996","19,747","2,225",11.27,81,64,5,7.81,10.48,8.40,2.73,19.61,Average,-118.33,34.15
2021-2022,Los Angeles,Ronald Reagan UCLA Medical Center,106190796,Isolated CABG 30-Day Readmission,"29,996","19,747","2,225",11.27,421,178,11,6.18,10.34,6.74,3.36,12.05,Average,-118.45,34.07
2021-2022,Los Angeles,Valley Presbyterian Hospital,106190812,Isolated CABG 30-Day Readmission,"29,996","19,747","2,225",11.27,74,45,11,24.44,11.38,24.21,12.08,43.31,Worse,-118.46,34.19
2021-2022,Los Angeles,West Hills Hospital and Medical Center,106190859,Isolated CABG 30-Day Readmission,"29,996","19,747","2,225",11.27,136,82,13,15.85,10.69,16.71,8.90,28.58,Average,-118.63,34.20
2021-2022,Los Angeles,Adventist Health White Memorial,106190878,Isolated CABG 30-Day Readmission,"29,996","19,747","2,225",11.27,82,49,5,10.20,10.67,10.77,3.50,25.14,Average,-118.22,34.05
2021-2022,Los Angeles,Henry Mayo Newhall Hospital,106190949,Isolated CABG 30-Day Readmission,"29,996","19,747","2,225",11.27,84,54,7,12.96,10.15,14.39,5.78,29.65,Average,-118.55,34.40
2021-2022,Los Angeles,Los Angeles County/Harbor – UCLA Medical Center,106191227,Isolated CABG 30-Day Readmission,"29,996","19,747","2,225",11.27,107,55,13,23.64,10.07,26.45,14.08,45.22,Worse,-118.29,33.83
2021-2022,Los Angeles,Los Angeles County+USC Medical Center,106191228,Isolated CABG 30-Day Readmission,"29,996","19,747","2,225",11.27,108,59,16,27.12,9.47,32.26,18.44,52.38,Worse,-118.21,34.06
2021-2022,Los Angeles,Keck Hospital of USC,106194219,Isolated CABG 30-Day Readmission,"29,996","19,747","2,225",11.27,284,57,12,21.05,12.67,18.72,9.67,32.70,Average,-118.20,34.06
2021-2022,Marin,MarinHealth Medical Center,106211006,Isolated CABG 30-Day Readmission,"29,996","19,747","2,225",11.27,85,53,5,9.43,9.12,11.66,3.79,27.21,Average,-122.54,37.95
2021-2022,Monterey,Community Hospital of the Monterey Peninsula,106270744,Isolated CABG 30-Day Readmission,"29,996","19,747","2,225",11.27,181,116,18,15.52,10.41,16.80,9.95,26.54,Average,-121.92,36.60
2021-2022,Monterey,Salinas Valley Health Medical Center,106270875,Isolated CABG 30-Day Readmission,"29,996","19,747","2,225",11.27,243,193,15,7.77,12.46,7.03,3.93,11.60,Average,-121.65,36.66
2021-2022,Napa,Providence Queen of the Valley Medical Center,106281047,Isolated CABG 30-Day Readmission,"29,996","19,747","2,225",11.27,90,55,8,14.55,12.35,13.27,5.73,26.14,Average,-122.30,38.32
2021-2022,Napa,Adventist Health St. Helena,106281078,Isolated CABG 30-Day Readmission,"29,996","19,747","2,225",11.27,209,77,8,10.39,13.07,8.95,3.87,17.64,Average,-122.47,38.54
2021-2022,Orange,MemorialCare Orange Coast Medical Center,106300225,Isolated CABG 30-Day Readmission,"29,996","19,747","2,225",11.27,252,184,15,8.15,10.11,9.09,5.09,14.99,Average,-117.96,33.70
2021-2022,Orange,AHMC Anaheim Regional Medical Center,106301098,Isolated CABG 30-Day Readmission,"29,996","19,747","2,225",11.27,210,88,17,19.32,9.59,22.71,13.23,36.36,Worse,-117.93,33.85
2021-2022,Orange,Fountain Valley Regional Hospital & Medical Center – Euclid,106301175,Isolated CABG 30-Day Readmission,"29,996","19,747","2,225",11.27,194,112,13,11.61,12.30,10.64,5.66,18.19,Average,-117.94,33.72
2021-2022,Orange,Anaheim Global Medical Center,106301188,Isolated CABG 30-Day Readmission,"29,996","19,747","2,225",11.27,8,7,2,28.57,16.66,19.32,2.34,69.80,Average,-117.91,33.82
2021-2022,Orange,Hoag Memorial Hospital Presbyterian,106301205,Isolated CABG 30-Day Readmission,"29,996","19,747","2,225",11.27,529,348,23,6.61,10.28,7.24,4.59,10.87,Better,-117.93,33.63
2021-2022,Orange,Providence Mission Hospital,106301262,Isolated CABG 30-Day Readmission,"29,996","19,747","2,225",11.27,235,147,11,7.48,9.81,8.60,4.29,15.38,Average,-117.67,33.56
2021-2022,Orange,UC Irvine Medical Center,106301279,Isolated CABG 30-Day Readmission,"29,996","19,747","2,225",11.27,263,136,18,13.24,13.99,10.66,6.32,16.85,Average,-117.89,33.79
2021-2022,Orange,MemorialCare Saddleback Medical Center,106301317,Isolated CABG 30-Day Readmission,"29,996","19,747","2,225",11.27,122,101,12,11.88,9.72,13.77,7.12,24.06,Average,-117.71,33.61
2021-2022,Orange,Providence St. Joseph Hospital,106301340,Isolated CABG 30-Day Readmission,"29,996","19,747","2,225",11.27,242,153,14,9.15,10.80,9.55,5.22,16.02,Average,-117.87,33.78
2021-2022,Orange,Providence St. Jude Medical Center,106301342,Isolated CABG 30-Day Readmission,"29,996","19,747","2,225",11.27,233,142,9,6.34,11.14,6.41,2.93,12.17,Average,-117.93,33.89
2021-2022,Orange,West Anaheim Medical Center,106301379,Isolated CABG 30-Day Readmission,"29,996","19,747","2,225",11.27,54,35,7,20.00,14.75,15.28,6.14,31.49,Average,-117.99,33.82
2021-2022,Orange,Orange County Global Medical Center,106301566,Isolated CABG 30-Day Readmission,"29,996","19,747","2,225",11.27,134,79,9,11.39,12.97,9.90,4.53,18.79,Average,-117.83,33.75
2021-2022,Riverside,Desert Regional Medical Center,106331164,Isolated CABG 30-Day Readmission,"29,996","19,747","2,225",11.27,192,148,10,6.76,11.11,6.85,3.29,12.60,Average,-116.55,33.84
2021-2022,Riverside,Eisenhower Medical Center,106331168,Isolated CABG 30-Day Readmission,"29,996","19,747","2,225",11.27,261,171,20,11.70,10.33,12.76,7.79,19.70,Average,-116.41,33.76
2021-2022,Riverside,Riverside Community Hospital,106331312,Isolated CABG 30-Day Readmission,"29,996","19,747","2,225",11.27,406,229,26,11.35,10.41,12.28,8.02,18.00,Average,-117.38,33.98
2021-2022,Riverside,Temecula Valley Hospital,106334564,Isolated CABG 30-Day Readmission,"29,996","19,747","2,225",11.27,286,199,21,10.55,10.71,11.10,6.87,16.96,Average,-117.10,33.48
2021-2022,Riverside,Loma Linda University Medical Center – Murrieta,106334589,Isolated CABG 30-Day Readmission,"29,996","19,747","2,225",11.27,188,132,26,19.70,11.63,19.09,12.47,27.97,Worse,-117.16,33.61
2021-2022,Sacramento,Mercy General Hospital,106340947,Isolated CABG 30-Day Readmission,"29,996","19,747","2,225",11.27,"1,357",899,87,9.68,11.44,9.53,7.64,11.76,Average,-121.45,38.57
2021-2022,Sacramento,Mercy San Juan Medical Center,106340950,Isolated CABG 30-Day Readmission,"29,996","19,747","2,225",11.27,210,146,13,8.90,11.61,8.64,4.60,14.77,Average,-121.31,38.67
2021-2022,Sacramento,UC Davis Medical Center,106341006,Isolated CABG 30-Day Readmission,"29,996","19,747","2,225",11.27,195,135,8,5.93,10.64,6.28,2.71,12.36,Average,-121.46,38.55
2021-2022,Sacramento,Sutter Medical Center – Sacramento,106341051,Isolated CABG 30-Day Readmission,"29,996","19,747","2,225",11.27,918,577,54,9.36,11.42,9.23,6.94,12.05,Average,-121.47,38.57
2021-2022,San Bernardino,Kaiser Foundation Hospital – Fontana,106361223,Isolated CABG 30-Day Readmission,"29,996","19,747","2,225",11.27,640,466,21,4.51,10.42,4.87,3.02,7.45,Better,-117.44,34.07
2021-2022,San Bernardino,Loma Linda University Medical Center,106361246,Isolated CABG 30-Day Readmission,"29,996","19,747","2,225",11.27,518,342,41,11.99,12.00,11.26,8.08,15.27,Average,-117.26,34.05
2021-2022,San Bernardino,San Antonio Regional Hospital,106361318,Isolated CABG 30-Day Readmission,"29,996","19,747","2,225",11.27,329,222,14,6.31,11.01,6.45,3.53,10.83,Better,-117.64,34.10
2021-2022,San Bernardino,St. Bernardine Medical Center,106361339,Isolated CABG 30-Day Readmission,"29,996","19,747","2,225",11.27,456,342,53,15.50,12.00,14.55,10.90,19.03,Average,-117.28,34.13
2021-2022,San Bernardino,St. Mary Medical Center – Apple Valley,106361343,Isolated CABG 30-Day Readmission,"29,996","19,747","2,225",11.27,121,92,7,7.61,10.54,8.14,3.27,16.76,Average,-117.27,34.54
2021-2022,San Bernardino,Arrowhead Regional Medical Center,106364231,Isolated CABG 30-Day Readmission,"29,996","19,747","2,225",11.27,31,24,3,12.50,11.01,12.80,2.64,37.39,Average,-117.35,34.07
2021-2022,San Diego,Sharp Memorial Hospital,106370694,Isolated CABG 30-Day Readmission,"29,996","19,747","2,225",11.27,244,156,25,16.03,10.80,16.72,10.82,24.68,Average,-117.16,32.80
2021-2022,San Diego,Grossmont Hospital,106370714,Isolated CABG 30-Day Readmission,"29,996","19,747","2,225",11.27,216,147,27,18.37,12.74,16.25,10.71,23.64,Average,-117.01,32.78
2021-2022,San Diego,Scripps Mercy Hospital,106370744,Isolated CABG 30-Day Readmission,"29,996","19,747","2,225",11.27,186,133,15,11.28,10.39,12.24,6.85,20.18,Average,-117.16,32.75
2021-2022,San Diego,Palomar Health Downtown Campus,106370755,Isolated CABG 30-Day Readmission,"29,996","19,747","2,225",11.27,69,50,5,10.00,10.29,10.95,3.56,25.56,Average,-117.08,33.13
2021-2022,San Diego,Scripps Memorial Hospital – La Jolla,106370771,Isolated CABG 30-Day Readmission,"29,996","19,747","2,225",11.27,832,560,62,11.07,10.40,12.00,9.20,15.38,Average,-117.22,32.89
2021-2022,San Diego,Tri-City Medical Center,106370780,Isolated CABG 30-Day Readmission,"29,996","19,747","2,225",11.27,91,66,10,15.15,10.25,16.66,7.99,30.64,Average,-117.29,33.18
2021-2022,San Diego,Sharp Chula Vista Medical Center,106370875,Isolated CABG 30-Day Readmission,"29,996","19,747","2,225",11.27,267,201,34,16.92,12.53,15.21,10.53,21.25,Average,-117.02,32.62
2021-2022,San Diego,UC San Diego Health La Jolla – Jacobs Medical Center & Sulpizio Cardiovascular Center,106374141,Isolated CABG 30-Day Readmission,"29,996","19,747","2,225",11.27,403,248,29,11.69,12.30,10.71,7.17,15.38,Average,-117.22,32.88
2021-2022,San Diego,Palomar Medical Center,106374382,Isolated CABG 30-Day Readmission,"29,996","19,747","2,225",11.27,64,45,3,6.67,10.28,7.31,1.51,21.36,Average,-117.12,33.12
2021-2022,San Francisco,Kaiser Foundation Hospital – San Francisco,106380857,Isolated CABG 30-Day Readmission,"29,996","19,747","2,225",11.27,"1,118",924,67,7.25,9.65,8.47,6.56,10.75,Better,-122.44,37.78
2021-2022,San Francisco,UC San Francisco Medical Center,106381154,Isolated CABG 30-Day Readmission,"29,996","19,747","2,225",11.27,359,208,31,14.90,10.76,15.60,10.60,22.15,Average,-122.46,37.76
2021-2022,San Francisco,California Pacific Medical Center – Van Ness Campus,106384176,Isolated CABG 30-Day Readmission,"29,996","19,747","2,225",11.27,172,101,9,8.91,10.74,9.35,4.28,17.75,Average,-122.42,37.79
2021-2022,San Joaquin,Dameron Hospital,106390846,Isolated CABG 30-Day Readmission,"29,996","19,747","2,225",11.27,95,51,5,9.80,10.39,10.63,3.45,24.81,Average,-121.30,37.96
2021-2022,San Joaquin,St. Joseph's Medical Center of Stockton,106391042,Isolated CABG 30-Day Readmission,"29,996","19,747","2,225",11.27,522,363,57,15.70,13.16,13.44,10.18,17.42,Average,-121.29,37.97
2021-2022,San Luis Obispo,French Hospital Medical Center,106400480,Isolated CABG 30-Day Readmission,"29,996","19,747","2,225",11.27,153,93,13,13.98,9.99,15.76,8.39,26.95,Average,-120.65,35.28
2021-2022,San Mateo,AHMC Seton Medical Center,106410817,Isolated CABG 30-Day Readmission,"29,996","19,747","2,225",11.27,71,48,9,18.75,13.36,15.81,7.23,30.02,Average,-122.47,37.68
2021-2022,San Mateo,Mills-Peninsula Medical Center,106410852,Isolated CABG 30-Day Readmission,"29,996","19,747","2,225",11.27,116,78,6,7.69,12.40,6.99,2.57,15.21,Average,-122.38,37.59
