Year,County,Hospital,OSHPD ID,Performance Measure,# of Cases,# of Adverse Events,Risk-adjusted Rate,Performance Rating,Longitude,Latitude
2013,Los Angeles,Downey Regional Medical Center,106190243,Post-Operative Stroke ,102,0,0,Average,-118.13,33.94
2012,Los Angeles,Downey Regional Medical Center,106190243,30-day Readmission ,35,7,17.59,Average,-118.13196,33.93515
2012,Los Angeles,Downey Regional Medical Center,106190243,Operative Mortality ,39,1,3.75,Average,-118.13196,33.93515
2017-2018,Los Angeles,Emante Health Inter-Community Hospital,106190413,CABG + Valve Operative Mortality,24,0,0.00,Average,-117.89,34.09
2017-2018,Los Angeles,Emante Health Inter-Community Hospital,106190413,CABG 30-Day Readmission,211,18,8.05,Average,-117.89,34.09
2017-2018,Los Angeles,Emante Health Inter-Community Hospital,106190413,Post-Operative Stroke,250,7,2.38,Average,-117.89,34.09
2018,Los Angeles,Emante Health Inter-Community Hospital,106190413,CABG Operative Mortality,135,0,0.00,Average,-117.89,34.09
2017-2018,Los Angeles,Garfield Medical Center,106190315,CABG + Valve Operative Mortality,29,1,3.41,Average,-118.12,34.07
2017-2018,Los Angeles,Garfield Medical Center,106190315,CABG 30-Day Readmission,198,29,14.63,Average,-118.12,34.07
2017-2018,Los Angeles,Garfield Medical Center,106190315,Post-Operative Stroke,319,13,3.69,Worse,-118.12,34.07
2016-2017,Los Angeles,Garfield Medical Center,106190315,CABG + Valve Operative Mortality,26,1,3.14,Average,-118.12,34.07
2016-2017,Los Angeles,Garfield Medical Center,106190315,Post-Operative Stroke,306,7,2.41,Average,-118.12,34.07
2015-2016,Los Angeles,Garfield Medical Center,106190315,CABG + Valve Operative Mortality,31,0,0.00,Average,-118.12,34.07
2015-2016,Los Angeles,Garfield Medical Center,106190315,CABG 30-Day Readmission,166,19,11.71,Average,-118.12,34.07
2015-2016,Los Angeles,Garfield Medical Center,106190315,Post-Operative Stroke,271,5,2.01,Average,-118.12,34.07
2014-2015,Los Angeles,Garfield Medical Center,106190315,30-Day Readmission,147,19,12.33,Average,-118.12,34.07
2014-2015,Los Angeles,Garfield Medical Center,106190315,CABG + Valve Operative Mortality,32,0,0,Average,-118.12,34.07
2014-2015,Los Angeles,Garfield Medical Center,106190315,Post-Operative Stroke ,226,3,1.41,Average,-118.12,34.07
2013-2014,Los Angeles,Garfield Medical Center,106190315,CABG + Valve Operative Mortality,33,0,0,Average,-118.12,34.07
2013-2014,Los Angeles,Garfield Medical Center,106190315,Post-Operative Stroke ,209,1,0.49,Average,-118.12,34.07
2011-2012,Los Angeles,Garfield Medical Center,106190315,Post-Operative Stroke ,252,6,1.82,Average,-118.12302,34.06826
2018,Los Angeles,Garfield Medical Center,106190315,CABG Operative Mortality,160,8,5.55,Average,-118.12,34.07
2017,Los Angeles,Garfield Medical Center,106190315,CABG Operative Mortality,159,0,0.00,Average,-118.12,34.07
2016,Los Angeles,Garfield Medical Center,106190315,CABG Operative Mortality,147,3,2.33,Average,-118.12,34.07
2015,Los Angeles,Garfield Medical Center,106190315,CABG Operative Mortality ,124,5,4.7,Average,-118.12,34.07
2014,Los Angeles,Garfield Medical Center,106190315,CABG Operative Mortality ,102,1,0.95,Average,-118.12,34.07
2013,Los Angeles,Garfield Medical Center,106190315,30-day Readmission ,70,11,15.71,Average,-118.12,34.07
2013,Los Angeles,Garfield Medical Center,106190315,30-day Readmission ,70,11,15.71,Average,-118.12,34.07
2013,Los Angeles,Garfield Medical Center,106190315,CABG + Valve Operative Mortality,35,0,0,Average,-118.12,34.07
2013,Los Angeles,Garfield Medical Center,106190315,CABG + Valve Operative Mortality,35,0,0,Average,-118.12,34.07
2013,Los Angeles,Garfield Medical Center,106190315,CABG Operative Mortality ,107,1,1.33,Average,-118.12,34.07
2013,Los Angeles,Garfield Medical Center,106190315,CABG Operative Mortality ,107,1,1.33,Average,-118.12,34.07
2013,Los Angeles,Garfield Medical Center,106190315,Post-Operative Stroke ,243,4,1.38,Average,-118.12,34.07
2013,Los Angeles,Garfield Medical Center,106190315,Post-Operative Stroke ,243,4,1.38,Average,-118.12,34.07
2012,Los Angeles,Garfield Medical Center,106190315,30-day Readmission ,98,12,11.09,Average,-118.12302,34.06826
2012,Los Angeles,Garfield Medical Center,106190315,Operative Mortality ,136,0,0,Average,-118.12302,34.06826
2015-2016,Los Angeles,Glendale Adventist Medical Center - Wilson Terrace,106190323,CABG + Valve Operative Mortality,20,2,13.87,Average,-118.23,34.15
2015-2016,Los Angeles,Glendale Adventist Medical Center - Wilson Terrace,106190323,CABG 30-Day Readmission,203,28,14.66,Average,-118.23,34.15
2015-2016,Los Angeles,Glendale Adventist Medical Center - Wilson Terrace,106190323,Post-Operative Stroke,259,2,0.79,Average,-118.23,34.15
2014-2015,Los Angeles,Glendale Adventist Medical Center - Wilson Terrace,106190323,30-Day Readmission,180,32,18.44,Worse,-118.23,34.15
2014-2015,Los Angeles,Glendale Adventist Medical Center - Wilson Terrace,106190323,CABG + Valve Operative Mortality,31,2,8.42,Average,-118.23,34.15
2014-2015,Los Angeles,Glendale Adventist Medical Center - Wilson Terrace,106190323,Post-Operative Stroke ,225,2,0.97,Average,-118.23,34.15
2011-2012,Los Angeles,Glendale Adventist Medical Center - Wilson Terrace,106190323,Post-Operative Stroke ,225,1,0.55,Average,-118.23109,34.14951
2016,Los Angeles,Glendale Adventist Medical Center - Wilson Terrace,106190323,CABG Operative Mortality,130,1,0.80,Average,-118.23,34.15
2015,Los Angeles,Glendale Adventist Medical Center - Wilson Terrace,106190323,CABG Operative Mortality ,129,5,4.33,Average,-118.23,34.15
2013,Los Angeles,Glendale Adventist Medical Center - Wilson Terrace,106190323,30-day Readmission ,110,17,16.72,Average,-118.23,34.15
2013,Los Angeles,Glendale Adventist Medical Center - Wilson Terrace,106190323,30-day Readmission ,110,17,16.72,Average,-118.23,34.15
2013,Los Angeles,Glendale Adventist Medical Center - Wilson Terrace,106190323,CABG + Valve Operative Mortality,28,2,9.51,Average,-118.23,34.15
2013,Los Angeles,Glendale Adventist Medical Center - Wilson Terrace,106190323,CABG + Valve Operative Mortality,28,2,9.51,Average,-118.23,34.15
2013,Los Angeles,Glendale Adventist Medical Center - Wilson Terrace,106190323,CABG Operative Mortality ,127,5,5.09,Average,-118.23,34.15
2013,Los Angeles,Glendale Adventist Medical Center - Wilson Terrace,106190323,CABG Operative Mortality ,127,5,5.09,Average,-118.23,34.15
2013,Los Angeles,Glendale Adventist Medical Center - Wilson Terrace,106190323,Post-Operative Stroke ,242,4,2.11,Average,-118.23,34.15
2013,Los Angeles,Glendale Adventist Medical Center - Wilson Terrace,106190323,Post-Operative Stroke ,242,4,2.11,Average,-118.23,34.15
2012,Los Angeles,Glendale Adventist Medical Center - Wilson Terrace,106190323,30-day Readmission ,101,22,21.3,Worse,-118.23109,34.14951
2012,Los Angeles,Glendale Adventist Medical Center - Wilson Terrace,106190323,Operative Mortality ,115,4,4.02,Average,-118.23109,34.14951
2013-2014,Los Angeles,Glendale Adventist Medical Center – Wilson Terrace,106190323,CABG + Valve Operative Mortality,35,1,4.01,Average,-118.23,34.15
2013-2014,Los Angeles,Glendale Adventist Medical Center – Wilson Terrace,106190323,Post-Operative Stroke ,223,4,2.19,Average,-118.23,34.15
2014,Los Angeles,Glendale Adventist Medical Center – Wilson Terrace,106190323,CABG Operative Mortality ,96,5,5.96,Average,-118.23,34.15
2017-2018,Los Angeles,Glendale Memorial Hospital and Health Center,106190522,CABG + Valve Operative Mortality,13,1,5.37,Average,-118.26,34.13
2017-2018,Los Angeles,Glendale Memorial Hospital and Health Center,106190522,CABG 30-Day Readmission,152,17,11.70,Average,-118.26,34.13
2017-2018,Los Angeles,Glendale Memorial Hospital and Health Center,106190522,Post-Operative Stroke,196,1,0.65,Average,-118.26,34.13
2016-2017,Los Angeles,Glendale Memorial Hospital and Health Center,106190522,CABG + Valve Operative Mortality,15,1,10.25,Average,-118.26,34.13
2016-2017,Los Angeles,Glendale Memorial Hospital and Health Center,106190522,Post-Operative Stroke,195,6,3.46,Average,-118.26,34.13
2015-2016,Los Angeles,Glendale Memorial Hospital and Health Center,106190522,CABG + Valve Operative Mortality,30,1,2.71,Average,-118.26,34.13
2015-2016,Los Angeles,Glendale Memorial Hospital and Health Center,106190522,CABG 30-Day Readmission,164,26,16.57,Average,-118.26,34.13
2015-2016,Los Angeles,Glendale Memorial Hospital and Health Center,106190522,Post-Operative Stroke,197,8,4.13,Worse,-118.26,34.13
2011-2012,Los Angeles,Glendale Memorial Hospital and Health Center,106190522,Post-Operative Stroke ,222,2,1.01,Average,-118.25769,34.1284
2018,Los Angeles,Glendale Memorial Hospital and Health Center,106190522,CABG Operative Mortality,102,2,2.98,Average,-118.26,34.13
2017,Los Angeles,Glendale Memorial Hospital and Health Center,106190522,CABG Operative Mortality,94,0,0.00,Average,-118.26,34.13
2016,Los Angeles,Glendale Memorial Hospital and Health Center,106190522,CABG Operative Mortality,101,2,2.48,Average,-118.26,34.13
2013,Los Angeles,Glendale Memorial Hospital and Health Center,106190522,30-day Readmission ,95,16,17.14,Average,-118.26,34.13
2013,Los Angeles,Glendale Memorial Hospital and Health Center,106190522,30-day Readmission ,95,16,17.14,Average,-118.26,34.13
2013,Los Angeles,Glendale Memorial Hospital and Health Center,106190522,CABG + Valve Operative Mortality,33,2,7.4,Average,-118.26,34.13
2013,Los Angeles,Glendale Memorial Hospital and Health Center,106190522,CABG + Valve Operative Mortality,33,2,7.4,Average,-118.26,34.13
2013,Los Angeles,Glendale Memorial Hospital and Health Center,106190522,CABG Operative Mortality ,108,3,2.64,Average,-118.26,34.13
2013,Los Angeles,Glendale Memorial Hospital and Health Center,106190522,CABG Operative Mortality ,108,3,2.64,Average,-118.26,34.13
2013,Los Angeles,Glendale Memorial Hospital and Health Center,106190522,Post-Operative Stroke ,225,5,2.28,Average,-118.26,34.13
2013,Los Angeles,Glendale Memorial Hospital and Health Center,106190522,Post-Operative Stroke ,225,5,2.28,Average,-118.26,34.13
2012,Los Angeles,Glendale Memorial Hospital and Health Center,106190522,30-day Readmission ,110,11,10.37,Average,-118.25769,34.1284
2012,Los Angeles,Glendale Memorial Hospital and Health Center,106190522,Operative Mortality ,117,1,1.34,Average,-118.25769,34.1284
2014-2015,Los Angeles,Glendale Memorial Hospital and Medical Center,106190522,30-Day Readmission,192,27,14.18,Average,-118.26,34.13
2014-2015,Los Angeles,Glendale Memorial Hospital and Medical Center,106190522,CABG + Valve Operative Mortality,35,3,7.39,Average,-118.26,34.13
2014-2015,Los Angeles,Glendale Memorial Hospital and Medical Center,106190522,Post-Operative Stroke ,216,4,2.06,Average,-118.26,34.13
2013-2014,Los Angeles,Glendale Memorial Hospital and Medical Center,106190522,CABG + Valve Operative Mortality,35,3,10.34,Average,-118.26,34.13
2013-2014,Los Angeles,Glendale Memorial Hospital and Medical Center,106190522,Post-Operative Stroke ,228,4,1.74,Average,-118.26,34.13
2015,Los Angeles,Glendale Memorial Hospital and Medical Center,106190522,CABG Operative Mortality ,96,2,1.97,Average,-118.26,34.13
2014,Los Angeles,Glendale Memorial Hospital and Medical Center,106190522,CABG Operative Mortality ,120,0,0,Average,-118.26,34.13
2011-2012,Los Angeles,Good Samaritan  Hospital - Los Angeles,106190392,Post-Operative Stroke ,179,2,0.86,Average,-118.26522,34.05324
2013,Los Angeles,Good Samaritan  Hospital - Los Angeles,106190392,30-day Readmission ,64,9,13.67,Average,-118.27,34.05
2013,Los Angeles,Good Samaritan  Hospital - Los Angeles,106190392,30-day Readmission ,64,9,13.67,Average,-118.27,34.05
2013,Los Angeles,Good Samaritan  Hospital - Los Angeles,106190392,CABG + Valve Operative Mortality,35,1,3.6,Average,-118.27,34.05
2013,Los Angeles,Good Samaritan  Hospital - Los Angeles,106190392,CABG + Valve Operative Mortality,35,1,3.6,Average,-118.27,34.05
2013,Los Angeles,Good Samaritan  Hospital - Los Angeles,106190392,CABG Operative Mortality ,88,2,2.27,Average,-118.27,34.05
2013,Los Angeles,Good Samaritan  Hospital - Los Angeles,106190392,CABG Operative Mortality ,88,2,2.27,Average,-118.27,34.05
2013,Los Angeles,Good Samaritan  Hospital - Los Angeles,106190392,Post-Operative Stroke ,173,3,1.53,Average,-118.27,34.05
2013,Los Angeles,Good Samaritan  Hospital - Los Angeles,106190392,Post-Operative Stroke ,173,3,1.53,Average,-118.27,34.05
2012,Los Angeles,Good Samaritan  Hospital - Los Angeles,106190392,30-day Readmission ,65,11,14.7,Average,-118.26522,34.05324
2012,Los Angeles,Good Samaritan  Hospital - Los Angeles,106190392,Operative Mortality ,85,2,2.25,Average,-118.26522,34.05324
2017-2018,Los Angeles,Good Samaritan Hospital - Los Angeles,106190392,CABG + Valve Operative Mortality,20,1,5.82,Average,-118.27,34.05
2017-2018,Los Angeles,Good Samaritan Hospital - Los Angeles,106190392,CABG 30-Day Readmission,124,17,14.91,Average,-118.27,34.05
2017-2018,Los Angeles,Good Samaritan Hospital - Los Angeles,106190392,Post-Operative Stroke,179,2,1.13,Average,-118.27,34.05
2016-2017,Los Angeles,Good Samaritan Hospital - Los Angeles,106190392,CABG + Valve Operative Mortality,25,2,6.46,Average,-118.27,34.05
2016-2017,Los Angeles,Good Samaritan Hospital - Los Angeles,106190392,Post-Operative Stroke,194,1,0.50,Average,-118.27,34.05
2015-2016,Los Angeles,Good Samaritan Hospital - Los Angeles,106190392,CABG + Valve Operative Mortality,30,1,2.89,Average,-118.27,34.05
2015-2016,Los Angeles,Good Samaritan Hospital - Los Angeles,106190392,CABG 30-Day Readmission,90,7,8.45,Average,-118.27,34.05
2015-2016,Los Angeles,Good Samaritan Hospital - Los Angeles,106190392,Post-Operative Stroke,164,1,0.56,Average,-118.27,34.05
2014-2015,Los Angeles,Good Samaritan Hospital - Los Angeles,106190392,30-Day Readmission,91,9,9.09,Average,-118.27,34.05
2014-2015,Los Angeles,Good Samaritan Hospital - Los Angeles,106190392,CABG + Valve Operative Mortality,30,1,3.17,Average,-118.27,34.05
2014-2015,Los Angeles,Good Samaritan Hospital - Los Angeles,106190392,Post-Operative Stroke ,154,3,1.85,Average,-118.27,34.05
2018,Los Angeles,Good Samaritan Hospital - Los Angeles,106190392,CABG Operative Mortality,82,3,4.95,Average,-118.27,34.05
2017,Los Angeles,Good Samaritan Hospital - Los Angeles,106190392,CABG Operative Mortality,97,2,1.80,Average,-118.27,34.05
2016,Los Angeles,Good Samaritan Hospital - Los Angeles,106190392,CABG Operative Mortality,97,1,1.19,Average,-118.27,34.05
2015,Los Angeles,Good Samaritan Hospital - Los Angeles,106190392,CABG Operative Mortality ,67,4,5.31,Average,-118.27,34.05
2013-2014,Los Angeles,Good Samaritan Hospital – Los Angeles,106190392,CABG + Valve Operative Mortality,32,2,5.88,Average,-118.27,34.05
2013-2014,Los Angeles,Good Samaritan Hospital – Los Angeles,106190392,Post-Operative Stroke ,175,3,1.77,Average,-118.27,34.05
2014,Los Angeles,Good Samaritan Hospital – Los Angeles,106190392,CABG Operative Mortality ,87,2,2.22,Average,-118.27,34.05
2017-2018,Los Angeles,Henry Mayo Newhall Hospital,106190949,CABG + Valve Operative Mortality,14,0,0.00,Average,-118.55,34.4
2017-2018,Los Angeles,Henry Mayo Newhall Hospital,106190949,CABG 30-Day Readmission,64,13,22.17,Worse,-118.55,34.4
2017-2018,Los Angeles,Henry Mayo Newhall Hospital,106190949,Post-Operative Stroke,76,1,1.56,Average,-118.55,34.4
2016-2017,Los Angeles,Henry Mayo Newhall Hospital,106190949,CABG + Valve Operative Mortality,16,0,0.00,Average,-118.55,34.4
2016-2017,Los Angeles,Henry Mayo Newhall Hospital,106190949,Post-Operative Stroke,67,1,1.68,Average,-118.55,34.4
2015-2016,Los Angeles,Henry Mayo Newhall Hospital,106190949,CABG + Valve Operative Mortality,13,2,15.55,Average,-118.55,34.4
2015-2016,Los Angeles,Henry Mayo Newhall Hospital,106190949,CABG 30-Day Readmission,46,7,16.15,Average,-118.55,34.4
2015-2016,Los Angeles,Henry Mayo Newhall Hospital,106190949,Post-Operative Stroke,53,1,1.86,Average,-118.55,34.4
2018,Los Angeles,Henry Mayo Newhall Hospital,106190949,CABG Operative Mortality,33,1,2.06,Average,-118.55,34.4
2017,Los Angeles,Henry Mayo Newhall Hospital,106190949,CABG Operative Mortality,43,0,0.00,Average,-118.55,34.4
2016,Los Angeles,Henry Mayo Newhall Hospital,106190949,CABG Operative Mortality,24,1,3.81,Average,-118.55,34.4
2014-2015,Los Angeles,Henry Mayo Newhall Memorial Hospital,106190949,30-Day Readmission,55,7,11.78,Average,-118.55,34.4
2014-2015,Los Angeles,Henry Mayo Newhall Memorial Hospital,106190949,CABG + Valve Operative Mortality,13,2,17.74,Average,-118.55,34.4
2014-2015,Los Angeles,Henry Mayo Newhall Memorial Hospital,106190949,Post-Operative Stroke ,64,0,0,Average,-118.55,34.4
2013-2014,Los Angeles,Henry Mayo Newhall Memorial Hospital,106190949,CABG + Valve Operative Mortality,12,1,7.81,Average,-118.55,34.4
2013-2014,Los Angeles,Henry Mayo Newhall Memorial Hospital,106190949,Post-Operative Stroke ,48,1,1.93,Average,-118.55,34.4
2011-2012,Los Angeles,Henry Mayo Newhall Memorial Hospital,106190949,Post-Operative Stroke ,2,0,0,Average,-118.55324,34.39637
2015,Los Angeles,Henry Mayo Newhall Memorial Hospital,106190949,CABG Operative Mortality ,29,0,0,Average,-118.55,34.4
2014,Los Angeles,Henry Mayo Newhall Memorial Hospital,106190949,CABG Operative Mortality ,35,1,2.14,Average,-118.55,34.4
2013,Los Angeles,Henry Mayo Newhall Memorial Hospital,106190949,30-day Readmission ,12,5,39.29,Worse,-118.55,34.4
2013,Los Angeles,Henry Mayo Newhall Memorial Hospital,106190949,30-day Readmission ,12,5,39.29,Worse,-118.55,34.4
2013,Los Angeles,Henry Mayo Newhall Memorial Hospital,106190949,CABG + Valve Operative Mortality,6,1,10.05,Average,-118.55,34.4
2013,Los Angeles,Henry Mayo Newhall Memorial Hospital,106190949,CABG + Valve Operative Mortality,6,1,10.05,Average,-118.55,34.4
2013,Los Angeles,Henry Mayo Newhall Memorial Hospital,106190949,CABG Operative Mortality ,13,0,0,Average,-118.55,34.4
2013,Los Angeles,Henry Mayo Newhall Memorial Hospital,106190949,CABG Operative Mortality ,13,0,0,Average,-118.55,34.4
2013,Los Angeles,Henry Mayo Newhall Memorial Hospital,106190949,Post-Operative Stroke ,15,1,9.54,Average,-118.55,34.4
2013,Los Angeles,Henry Mayo Newhall Memorial Hospital,106190949,Post-Operative Stroke ,15,1,9.54,Average,-118.55,34.4
2012,Los Angeles,Henry Mayo Newhall Memorial Hospital,106190949,30-day Readmission ,2,0,0,Average,-118.55324,34.39637
2012,Los Angeles,Henry Mayo Newhall Memorial Hospital,106190949,Operative Mortality ,2,0,0,Average,-118.55324,34.39637
2017-2018,Los Angeles,Hollywood Presbyterian Medical Center,106190382,CABG + Valve Operative Mortality,1,1,49.01,Average,-118.29,34.1
2017-2018,Los Angeles,Hollywood Presbyterian Medical Center,106190382,CABG 30-Day Readmission,50,21,35.83,Worse,-118.29,34.1
2017-2018,Los Angeles,Hollywood Presbyterian Medical Center,106190382,Post-Operative Stroke,76,1,1.29,Average,-118.29,34.1
2016-2017,Los Angeles,Hollywood Presbyterian Medical Center,106190382,CABG + Valve Operative Mortality,2,0,0.00,Average,-118.29,34.1
2016-2017,Los Angeles,Hollywood Presbyterian Medical Center,106190382,Post-Operative Stroke,73,3,4.24,Average,-118.29,34.1
2015-2016,Los Angeles,Hollywood Presbyterian Medical Center,106190382,CABG + Valve Operative Mortality,2,0,0.00,Average,-118.29,34.1
2015-2016,Los Angeles,Hollywood Presbyterian Medical Center,106190382,CABG 30-Day Readmission,76,20,22.03,Worse,-118.29,34.1
2015-2016,Los Angeles,Hollywood Presbyterian Medical Center,106190382,Post-Operative Stroke,93,3,2.90,Average,-118.29,34.1
2014-2015,Los Angeles,Hollywood Presbyterian Medical Center,106190382,30-Day Readmission,68,17,20.01,Worse,-118.29,34.1
2014-2015,Los Angeles,Hollywood Presbyterian Medical Center,106190382,CABG + Valve Operative Mortality,2,1,103.02,Average,-118.29,34.1
2014-2015,Los Angeles,Hollywood Presbyterian Medical Center,106190382,Post-Operative Stroke ,93,2,1.74,Average,-118.29,34.1
2013-2014,Los Angeles,Hollywood Presbyterian Medical Center,106190382,CABG + Valve Operative Mortality,3,1,41.95,Average,-118.29,34.1
2013-2014,Los Angeles,Hollywood Presbyterian Medical Center,106190382,Post-Operative Stroke ,89,1,1.15,Average,-118.29,34.1
2011-2012,Los Angeles,Hollywood Presbyterian Medical Center,106190382,Post-Operative Stroke ,34,0,0,Average,-118.29163,34.09557
2018,Los Angeles,Hollywood Presbyterian Medical Center,106190382,CABG Operative Mortality,45,4,10.56,Worse,-118.29,34.1
2017,Los Angeles,Hollywood Presbyterian Medical Center,106190382,CABG Operative Mortality,31,1,4.47,Average,-118.29,34.1
2016,Los Angeles,Hollywood Presbyterian Medical Center,106190382,CABG Operative Mortality,42,0,0.00,Average,-118.29,34.1
2015,Los Angeles,Hollywood Presbyterian Medical Center,106190382,CABG Operative Mortality ,51,3,3.85,Average,-118.29,34.1
2014,Los Angeles,Hollywood Presbyterian Medical Center,106190382,CABG Operative Mortality ,42,1,2.78,Average,-118.29,34.1
2013,Los Angeles,Hollywood Presbyterian Medical Center,106190382,30-day Readmission ,43,10,21.79,Average,-118.29,34.1
2013,Los Angeles,Hollywood Presbyterian Medical Center,106190382,30-day Readmission ,43,10,21.79,Average,-118.29,34.1
2013,Los Angeles,Hollywood Presbyterian Medical Center,106190382,CABG + Valve Operative Mortality,2,0,0,Average,-118.29,34.1
2013,Los Angeles,Hollywood Presbyterian Medical Center,106190382,CABG + Valve Operative Mortality,2,0,0,Average,-118.29,34.1
2013,Los Angeles,Hollywood Presbyterian Medical Center,106190382,CABG Operative Mortality ,47,2,3.93,Average,-118.29,34.1
2013,Los Angeles,Hollywood Presbyterian Medical Center,106190382,CABG Operative Mortality ,47,2,3.93,Average,-118.29,34.1
2013,Los Angeles,Hollywood Presbyterian Medical Center,106190382,Post-Operative Stroke ,69,0,0,Average,-118.29,34.1
2013,Los Angeles,Hollywood Presbyterian Medical Center,106190382,Post-Operative Stroke ,69,0,0,Average,-118.29,34.1
2012,Los Angeles,Hollywood Presbyterian Medical Center,106190382,30-day Readmission ,18,4,23.27,Average,-118.29163,34.09557
2012,Los Angeles,Hollywood Presbyterian Medical Center,106190382,Operative Mortality ,22,0,0,Average,-118.29163,34.09557
2017-2018,Los Angeles,Huntington Memorial Hospital,106190400,CABG + Valve Operative Mortality,34,0,0.00,Average,-118.15,34.14
2017-2018,Los Angeles,Huntington Memorial Hospital,106190400,CABG 30-Day Readmission,162,14,9.68,Average,-118.15,34.14
2017-2018,Los Angeles,Huntington Memorial Hospital,106190400,Post-Operative Stroke,184,3,1.99,Average,-118.15,34.14
2016-2017,Los Angeles,Huntington Memorial Hospital,106190400,CABG + Valve Operative Mortality,30,0,0.00,Average,-118.15,34.14
2016-2017,Los Angeles,Huntington Memorial Hospital,106190400,Post-Operative Stroke,182,2,1.35,Average,-118.15,34.14
2015-2016,Los Angeles,Huntington Memorial Hospital,106190400,CABG + Valve Operative Mortality,33,0,0.00,Average,-118.15,34.14
2015-2016,Los Angeles,Huntington Memorial Hospital,106190400,CABG 30-Day Readmission,164,15,10.12,Average,-118.15,34.14
2015-2016,Los Angeles,Huntington Memorial Hospital,106190400,Post-Operative Stroke,183,2,1.29,Average,-118.15,34.14
2014-2015,Los Angeles,Huntington Memorial Hospital,106190400,30-Day Readmission,139,19,13.87,Average,-118.15,34.14
2014-2015,Los Angeles,Huntington Memorial Hospital,106190400,CABG + Valve Operative Mortality,35,1,3.39,Average,-118.15,34.14
2014-2015,Los Angeles,Huntington Memorial Hospital,106190400,Post-Operative Stroke ,149,3,2.3,Average,-118.15,34.14
2013-2014,Los Angeles,Huntington Memorial Hospital,106190400,CABG + Valve Operative Mortality,44,2,5.26,Average,-118.15,34.14
2013-2014,Los Angeles,Huntington Memorial Hospital,106190400,Post-Operative Stroke ,131,1,0.79,Average,-118.15,34.14
2011-2012,Los Angeles,Huntington Memorial Hospital,106190400,Post-Operative Stroke ,143,1,0.82,Average,-118.1518,34.13565
2018,Los Angeles,Huntington Memorial Hospital,106190400,CABG Operative Mortality,101,2,3.44,Average,-118.15,34.14
2017,Los Angeles,Huntington Memorial Hospital,106190400,CABG Operative Mortality,83,0,0.00,Average,-118.15,34.14
2016,Los Angeles,Huntington Memorial Hospital,106190400,CABG Operative Mortality,99,1,1.60,Average,-118.15,34.14
2015,Los Angeles,Huntington Memorial Hospital,106190400,CABG Operative Mortality ,84,1,1.47,Average,-118.15,34.14
2014,Los Angeles,Huntington Memorial Hospital,106190400,CABG Operative Mortality ,65,0,0,Average,-118.15,34.14
2013,Los Angeles,Huntington Memorial Hospital,106190400,30-day Readmission ,64,11,16.35,Average,-118.15,34.14
2013,Los Angeles,Huntington Memorial Hospital,106190400,30-day Readmission ,64,11,16.35,Average,-118.15,34.14
2013,Los Angeles,Huntington Memorial Hospital,106190400,CABG + Valve Operative Mortality,48,1,2.05,Average,-118.15,34.14
2013,Los Angeles,Huntington Memorial Hospital,106190400,CABG + Valve Operative Mortality,48,1,2.05,Average,-118.15,34.14
2013,Los Angeles,Huntington Memorial Hospital,106190400,CABG Operative Mortality ,66,0,0,Average,-118.15,34.14
2013,Los Angeles,Huntington Memorial Hospital,106190400,CABG Operative Mortality ,66,0,0,Average,-118.15,34.14
2013,Los Angeles,Huntington Memorial Hospital,106190400,Post-Operative Stroke ,131,1,0.74,Average,-118.15,34.14
2013,Los Angeles,Huntington Memorial Hospital,106190400,Post-Operative Stroke ,131,1,0.74,Average,-118.15,34.14
2012,Los Angeles,Huntington Memorial Hospital,106190400,30-day Readmission ,62,5,8.52,Average,-118.1518,34.13565
2012,Los Angeles,Huntington Memorial Hospital,106190400,Operative Mortality ,65,1,2.1,Average,-118.1518,34.13565
2017-2018,Los Angeles,Kaiser Foundation Hospital - Los Angeles,106190429,CABG + Valve Operative Mortality,279,7,2.86,Average,-118.3,34.1
2017-2018,Los Angeles,Kaiser Foundation Hospital - Los Angeles,106190429,CABG 30-Day Readmission,1353,98,7.48,Better,-118.3,34.1
2017-2018,Los Angeles,Kaiser Foundation Hospital - Los Angeles,106190429,Post-Operative Stroke,1401,13,1.03,Average,-118.3,34.1
2016-2017,Los Angeles,Kaiser Foundation Hospital - Los Angeles,106190429,CABG + Valve Operative Mortality,280,6,2.60,Average,-118.3,34.1
2016-2017,Los Angeles,Kaiser Foundation Hospital - Los Angeles,106190429,Post-Operative Stroke,"1,368",14,1.34,Average,-118.3,34.1
2018,Los Angeles,Kaiser Foundation Hospital - Los Angeles,106190429,CABG Operative Mortality,713,9,1.64,Average,-118.3,34.1
2017,Los Angeles,Kaiser Foundation Hospital - Los Angeles,106190429,CABG Operative Mortality,688,11,2.04,Average,-118.3,34.1
2015-2016,Los Angeles,Kaiser Foundation Hospital - Sunset,106190429,CABG + Valve Operative Mortality,283,4,1.54,Better,-118.3,34.1
2015-2016,Los Angeles,Kaiser Foundation Hospital - Sunset,106190429,CABG 30-Day Readmission,1238,124,9.64,Average,-118.3,34.1
2015-2016,Los Angeles,Kaiser Foundation Hospital - Sunset,106190429,Post-Operative Stroke,1267,19,1.69,Average,-118.3,34.1
2014-2015,Los Angeles,Kaiser Foundation Hospital - Sunset,106190429,30-Day Readmission,1134,126,10.82,Average,-118.3,34.1
2014-2015,Los Angeles,Kaiser Foundation Hospital - Sunset,106190429,CABG + Valve Operative Mortality,297,8,2.95,Average,-118.3,34.1
